Image,Height
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_1F_KO_s1h1_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,1272
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_1F_KO_s1h2_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,1280
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_8M_WT_s1h1_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,1104
MAX_20250715_CTNND2_oligo_juvenile_pilot_55194_8M_WT_s1h2_ASPA488_Pdgfra594_Olig2694_DAPI405_NEWSETTINGS_Merged.tif_rotated.tif,1200
